Date,City,State,PM2.5,PM10,NO2,SO2,CO,O3,AQI
2022-01-16,Lucknow,Uttar Pradesh,80.28,221.55,41.95,18.46,1.29,31.51,221.55
2022-01-17,Delhi,Delhi,143.24,301.57,59.16,25.45,1.61,29.93,301.57
2022-01-17,Mumbai,Maharashtra,80.93,171.48,53.3,19.73,1.42,31.45,171.48
2022-01-17,Kolkata,West Bengal,96.58,176.47,51.56,26.26,1.54,32.17,176.47
2022-01-17,Chennai,Tamil Nadu,69.85,89.38,29.66,23.48,0.75,40.88,116.42
2022-01-17,Bangalore,Karnataka,62.65,117.01,29.72,10.87,0.71,41.94,117.01
2022-01-17,Hyderabad,Telangana,66.22,141.87,47.63,14.06,1.48,43.0,141.87
2022-01-17,Ahmedabad,Gujarat,143.51,207.05,73.67,24.49,1.3,45.26,239.18
2022-01-17,Pune,Maharashtra,54.07,121.67,51.1,17.85,1.07,35.98,121.67
2022-01-17,Jaipur,Rajasthan,99.23,174.99,56.29,27.89,1.42,31.99,174.99
2022-01-17,Lucknow,Uttar Pradesh,144.46,278.56,61.08,23.57,1.61,34.88,278.56
2022-01-18,Delhi,Delhi,124.71,318.55,67.48,24.33,2.0,32.5,318.55
2022-01-18,Mumbai,Maharashtra,70.55,121.18,49.72,22.06,1.44,37.14,121.18
2022-01-18,Kolkata,West Bengal,116.07,178.06,63.14,16.33,1.53,38.74,193.45
2022-01-18,Chennai,Tamil Nadu,57.99,135.14,49.59,11.73,0.93,38.81,135.14
2022-01-18,Bangalore,Karnataka,38.51,120.83,43.23,14.01,1.16,41.67,120.83
2022-01-18,Hyderabad,Telangana,98.07,128.34,47.41,15.66,1.31,38.21,163.46
2022-01-18,Ahmedabad,Gujarat,113.04,228.09,58.31,27.66,1.27,48.61,228.09
2022-01-18,Pune,Maharashtra,62.32,126.0,53.24,20.02,0.81,39.87,126.0
2022-01-18,Jaipur,Rajasthan,,197.66,53.91,18.4,1.31,30.7,197.66
2022-01-18,Lucknow,Uttar Pradesh,107.33,236.39,70.24,19.54,1.61,31.01,236.39
2022-01-19,Delhi,Delhi,105.85,270.45,69.27,21.26,1.94,38.45,270.45
2022-01-19,Mumbai,Maharashtra,72.83,152.56,50.55,12.43,1.57,21.41,152.56
2022-01-19,Kolkata,West Bengal,90.32,220.21,60.21,24.03,1.57,38.57,220.21
2022-01-19,Chennai,Tamil Nadu,77.8,132.83,41.57,21.24,0.87,49.6,132.83
2022-01-19,Bangalore,Karnataka,63.02,133.43,50.99,13.89,1.02,42.01,133.43
2022-01-19,Hyderabad,Telangana,95.84,134.82,41.15,18.62,1.23,34.08,159.73
2022-01-19,Ahmedabad,Gujarat,98.36,235.79,59.43,21.01,1.48,35.85,235.79
2022-01-19,Pune,Maharashtra,97.86,147.93,64.65,25.09,0.77,47.69,163.1
2022-01-19,Jaipur,Rajasthan,121.84,260.72,63.97,23.24,1.78,38.93,260.72
2022-01-19,Lucknow,Uttar Pradesh,113.96,252.38,66.11,22.24,2.1,35.6,252.38
2022-01-20,Delhi,Delhi,110.42,259.06,67.78,31.47,1.69,43.89,259.06
2022-01-20,Mumbai,Maharashtra,79.9,129.17,62.35,19.67,1.57,31.57,133.16
2022-01-20,Kolkata,West Bengal,89.96,188.13,53.52,17.11,1.51,32.65,188.13
2022-01-20,Chennai,Tamil Nadu,74.57,147.73,44.94,18.8,0.93,34.2,147.73
2022-01-20,Bangalore,Karnataka,64.04,120.11,45.8,17.65,0.76,50.48,120.11
2022-01-20,Hyderabad,Telangana,91.79,148.19,42.79,23.25,1.06,30.58,152.98
2022-01-20,Ahmedabad,Gujarat,109.44,249.98,67.9,32.86,1.51,41.13,249.98
2022-01-20,Pune,Maharashtra,55.32,198.67,50.75,14.73,1.27,47.08,198.67
2022-01-20,Jaipur,Rajasthan,142.82,220.9,65.09,26.55,1.63,29.22,238.03
2022-01-20,Lucknow,Uttar Pradesh,133.47,285.56,81.36,21.4,1.96,42.25,285.56
2022-01-21,Delhi,Delhi,113.2,,80.5,25.94,1.88,34.33,188.67
2022-01-21,Mumbai,Maharashtra,97.7,156.71,68.74,15.75,1.1,34.08,162.83
2022-01-21,Kolkata,West Bengal,103.83,190.87,52.65,19.02,1.37,21.38,190.87
2022-01-21,Chennai,Tamil Nadu,87.82,195.5,55.01,16.7,0.54,40.09,195.5
2022-01-21,Bangalore,Karnataka,84.25,131.59,60.33,22.78,0.76,59.94,140.42
2022-01-21,Hyderabad,Telangana,90.5,138.4,52.81,19.72,1.23,44.47,150.84
2022-01-21,Ahmedabad,Gujarat,114.5,187.83,65.08,19.88,1.83,26.1,190.83
2022-01-21,Pune,Maharashtra,71.37,138.1,53.69,20.62,1.06,45.23,138.1
2022-01-21,Jaipur,Rajasthan,109.7,272.75,78.71,23.9,1.65,32.38,272.75
2022-01-21,Lucknow,Uttar Pradesh,96.73,256.33,68.46,20.73,2.12,44.7,256.33
2022-01-22,Delhi,Delhi,106.92,213.01,54.63,19.27,1.21,40.62,213.01
2022-01-22,Mumbai,Maharashtra,65.44,144.91,40.94,10.98,1.12,36.51,144.91
2022-01-22,Kolkata,West Bengal,91.66,160.25,35.93,21.17,1.2,39.37,160.25
2022-01-22,Chennai,Tamil Nadu,49.11,104.12,20.88,16.38,0.53,41.51,104.12
2022-01-22,Bangalore,Karnataka,57.3,60.23,20.33,20.21,0.67,34.18,95.5
2022-01-22,Hyderabad,Telangana,95.69,119.21,55.69,21.9,1.04,39.77,159.49
2022-01-22,Ahmedabad,Gujarat,73.07,144.48,56.73,22.3,1.48,26.38,144.48
2022-01-22,Pune,Maharashtra,36.14,105.73,,20.03,0.56,38.6,105.73
2022-01-22,Jaipur,Rajasthan,101.0,179.99,45.93,19.15,0.9,31.95,179.99
2022-01-22,Lucknow,Uttar Pradesh,119.19,,64.16,28.9,1.05,40.46,198.65
2022-01-23,Delhi,Delhi,104.8,207.16,44.87,21.25,1.75,39.53,207.16
2022-01-23,Mumbai,Maharashtra,66.88,120.62,34.05,19.12,1.06,24.17,120.62
2022-01-23,Kolkata,West Bengal,69.08,168.22,53.89,26.06,1.13,39.81,168.22
2022-01-23,Chennai,Tamil Nadu,72.93,91.62,27.18,19.01,1.23,36.7,121.55
2022-01-23,Bangalore,Karnataka,41.75,105.39,22.62,20.51,0.29,43.72,105.39
2022-01-23,Hyderabad,Telangana,77.57,105.57,48.97,17.04,0.95,41.65,129.28
2022-01-23,Ahmedabad,Gujarat,86.8,157.0,48.3,20.02,1.15,44.61,157.0
2022-01-23,Pune,Maharashtra,59.37,,28.75,16.42,0.93,36.1,98.95
2022-01-23,Jaipur,Rajasthan,96.22,174.93,59.96,23.71,1.28,42.12,174.93
2022-01-23,Lucknow,Uttar Pradesh,99.75,170.66,45.98,23.49,1.34,42.44,170.66
2022-01-24,Delhi,Delhi,108.02,281.51,80.38,23.0,1.71,40.3,281.51
2022-01-24,Mumbai,Maharashtra,103.22,157.14,50.48,20.43,1.15,38.01,172.04
2022-01-24,Kolkata,West Bengal,95.27,182.07,71.49,12.18,1.33,29.18,182.07
2022-01-24,Chennai,Tamil Nadu,,119.11,56.34,14.53,0.98,37.3,119.11
2022-01-24,Bangalore,Karnataka,,94.64,30.02,19.91,0.94,50.86,94.64
2022-01-24,Hyderabad,Telangana,65.3,,45.37,15.09,1.11,38.11,108.84
2022-01-24,Ahmedabad,Gujarat,104.83,290.49,80.4,23.49,1.42,25.81,290.49
2022-01-24,Pune,Maharashtra,82.99,167.5,35.44,16.94,1.06,45.79,167.5
2022-01-24,Jaipur,Rajasthan,129.89,237.25,61.85,16.73,1.48,23.98,237.25
2022-01-24,Lucknow,Uttar Pradesh,125.7,258.28,76.4,24.55,1.6,35.04,258.28
2022-01-25,Delhi,Delhi,152.04,291.01,79.45,25.82,2.22,26.85,291.01
2022-01-25,Mumbai,Maharashtra,114.23,146.93,52.84,18.99,1.41,30.4,190.38
2022-01-25,Kolkata,West Bengal,96.86,176.22,66.95,22.78,1.51,45.74,176.22
2022-01-25,Chennai,Tamil Nadu,74.42,134.55,60.71,16.64,0.49,38.6,134.55
2022-01-25,Bangalore,Karnataka,52.31,168.35,51.06,14.84,0.92,39.8,168.35
2022-01-25,Hyderabad,Telangana,60.09,211.07,41.48,20.75,1.1,35.67,211.07
2022-01-25,Ahmedabad,Gujarat,119.32,,63.45,17.3,1.59,30.01,198.87
2022-01-25,Pune,Maharashtra,69.98,,53.65,20.15,0.84,41.95,116.63
2022-01-25,Jaipur,Rajasthan,136.64,258.14,64.87,27.47,1.66,39.26,258.14
2022-01-25,Lucknow,Uttar Pradesh,150.52,257.87,75.64,27.95,1.93,38.7,257.87
2022-01-26,Delhi,Delhi,122.34,288.73,79.89,26.63,1.95,44.27,288.73
2022-01-26,Mumbai,Maharashtra,73.64,229.3,49.51,24.32,1.32,27.39,229.3
2022-01-26,Kolkata,West Bengal,108.86,199.52,54.69,30.54,1.54,39.12,199.52
2022-01-26,Chennai,Tamil Nadu,68.58,121.65,42.84,15.82,0.77,46.19,121.65
2022-01-26,Bangalore,Karnataka,50.7,115.74,39.34,11.45,1.13,39.05,115.74
2022-01-26,Hyderabad,Telangana,72.77,121.76,55.04,14.4,0.86,37.61,121.76
2022-01-26,Ahmedabad,Gujarat,113.74,215.11,75.59,22.65,1.41,39.18,215.11
2022-01-26,Pune,Maharashtra,81.51,133.03,58.29,15.31,1.03,37.35,135.85
2022-01-26,Jaipur,Rajasthan,117.61,234.66,,23.45,1.45,39.22,234.66
2022-01-26,Lucknow,Uttar Pradesh,130.81,293.43,61.73,24.02,1.64,31.62,293.43
2022-01-27,Delhi,Delhi,124.38,276.29,78.56,25.62,1.52,43.36,276.29
2022-01-27,Mumbai,Maharashtra,80.09,198.22,57.73,24.0,1.05,33.21,198.22
2022-01-27,Kolkata,West Bengal,104.07,191.17,70.08,17.18,1.44,30.72,191.17
2022-01-27,Chennai,Tamil Nadu,85.13,176.75,53.98,16.52,0.93,40.34,176.75
2022-01-27,Bangalore,Karnataka,59.29,122.68,37.11,13.95,0.88,36.82,122.68
2022-01-27,Hyderabad,Telangana,107.31,196.06,55.71,21.7,1.0,38.57,196.06
2022-01-27,Ahmedabad,Gujarat,95.93,206.02,60.47,21.11,1.77,27.93,206.02
2022-01-27,Pune,Maharashtra,73.55,149.67,53.33,19.92,1.05,42.62,149.67
2022-01-27,Jaipur,Rajasthan,130.46,260.55,73.55,29.41,1.63,24.99,260.55
2022-01-27,Lucknow,Uttar Pradesh,140.71,281.61,70.01,25.16,1.82,35.01,281.61
2022-01-28,Delhi,Delhi,121.3,276.65,71.89,21.65,2.09,29.54,276.65
2022-01-28,Mumbai,Maharashtra,83.62,192.88,50.81,19.1,0.95,34.66,192.88
2022-01-28,Kolkata,West Bengal,121.33,232.01,67.03,18.55,1.53,32.15,232.01
2022-01-28,Chennai,Tamil Nadu,97.79,178.64,48.65,13.99,1.26,37.91,178.64
2022-01-28,Bangalore,Karnataka,93.01,132.56,45.16,23.47,0.77,37.54,155.02
2022-01-28,Hyderabad,Telangana,89.84,179.64,53.96,19.86,1.06,41.03,179.64
2022-01-28,Ahmedabad,Gujarat,110.48,245.87,81.71,14.08,1.58,32.14,245.87
2022-01-28,Pune,Maharashtra,108.77,154.97,62.11,24.25,1.1,48.24,181.28
2022-01-28,Jaipur,Rajasthan,101.83,245.12,68.44,28.4,1.46,35.41,245.12
2022-01-28,Lucknow,Uttar Pradesh,126.83,323.84,59.55,32.06,1.84,34.52,323.84
2022-01-29,Delhi,Delhi,83.19,218.74,54.84,26.69,1.34,34.28,218.74
2022-01-29,Mumbai,Maharashtra,71.81,110.75,32.72,17.33,0.78,32.34,119.69
2022-01-29,Kolkata,West Bengal,80.22,126.31,59.17,27.64,1.13,33.59,133.71
2022-01-29,Chennai,Tamil Nadu,71.35,140.02,46.67,25.25,0.74,46.35,140.02
2022-01-29,Bangalore,Karnataka,58.19,,28.88,22.1,0.73,48.93,96.98
2022-01-29,Hyderabad,Telangana,69.98,138.78,39.63,18.1,0.75,26.44,138.78
2022-01-29,Ahmedabad,Gujarat,98.73,181.43,50.11,21.4,1.06,45.76,181.43
2022-01-29,Pune,Maharashtra,90.91,176.96,44.49,22.44,1.12,39.0,176.96
2022-01-29,Jaipur,Rajasthan,100.5,204.02,46.14,17.1,1.39,34.1,204.02
2022-01-29,Lucknow,Uttar Pradesh,112.93,195.51,59.03,27.47,1.61,37.78,195.51
2022-01-30,Delhi,Delhi,94.44,165.0,53.23,22.84,1.25,34.17,165.0
2022-01-30,Mumbai,Maharashtra,95.57,94.14,38.12,19.91,0.69,31.65,159.29
2022-01-30,Kolkata,West Bengal,84.36,148.75,54.81,18.21,0.94,40.1,148.75
